"","location","date","total_deaths_per_million","mask_category"
"581","Finland",84,22.38,1
"582","Norway",84,3.68,1
"583","Ukraine",84,0.327,2
"584","Greece",84,4.044,3
"585","Croatia",84,1.241,1
"586","Germany",84,24.529,2
"587","North Macedonia",84,2.866,2
"588","Czechia",84,1.62,1
"589","Slovenia",84,6.133,2
"590","Serbia",84,1.455,1
"591","France",84,41.964,3
"592","Poland",84,0.452,3
"593","Albania",84,2.815,1
"594","Bulgaria",84,1.18,1
"595","Ireland",84,10.75,2
"596","Bosnia and Herzegovina",85,2.783,1
"597","Ireland",85,11.547,2
"598","Netherlands",85,64.45,1
"599","Romania",85,2.187,3
"600","Greece",85,4.044,3
"601","United Kingdom",85,44.513,2
"602","Albania",85,3.518,1
"603","Czechia",85,2.192,1
"604","Bulgaria",85,1.18,1
"605","Finland",85,22.921,1
"606","France",85,41.964,3
"607","Denmark",85,12.24,1
"608","Lithuania",85,1.455,3
"609","Hungary",85,1.505,3
"610","Belgium",85,76.785,2
"611","Norway",85,4.048,1
"612","Ukraine",85,0.327,2
"613","Germany",85,24.529,2
"614","Slovenia",85,6.133,2
"615","Serbia",85,1.892,1
"616","Poland",85,0.552,3
"617","Croatia",85,1.489,1
"618","Sweden",85,22.655,1
"619","Portugal",85,14.604,3
"620","Switzerland",85,43.476,1
"621","Austria",85,8.725,1
"622","North Macedonia",85,2.866,2
"623","Italy",85,182.579,3
"624","Estonia",85,55.05,2
"625","Spain",85,180.346,3
"626","Lithuania",86,1.455,3
"627","North Macedonia",86,2.866,2
"628","Germany",86,24.529,2
"629","Ukraine",86,0.327,2
"630","Czechia",86,2.668,1
"631","Belgium",86,89.139,2
"632","France",86,41.964,3
"633","Romania",86,3.306,3
"634","Serbia",86,2.328,1
"635","Estonia",86,55.05,2
"636","Croatia",86,1.489,1
"637","Albania",86,3.518,1
"638","Bosnia and Herzegovina",86,3.711,1
"639","Portugal",86,14.604,3
"640","Bulgaria",86,1.18,1
"641","Slovakia",86,0.177,3
"642","Sweden",86,26.921,1
"643","Switzerland",86,50.112,1
"644","Italy",86,196.333,3
"645","Hungary",86,1.605,3
"646","Netherlands",86,64.45,1
"647","Slovenia",86,6.133,2
"648","United Kingdom",86,53.178,2
"649","Denmark",86,13.09,1
"650","Ireland",86,14.334,2
"651","Greece",86,4.044,3
"652","Norway",86,4.784,1
"653","Spain",86,180.346,3
"654","Austria",86,10.179,1
"655","Finland",86,23.463,1
"656","Poland",86,0.778,3
"657","Bosnia and Herzegovina",87,4.02,1
"658","Switzerland",87,55.146,1
"659","Austria",87,12.193,1
"660","Denmark",87,15.3,1
"661","Lithuania",87,2.182,3
"662","North Macedonia",87,2.866,2
"663","Croatia",87,1.489,1
"664","Greece",87,4.044,3
"665","Belgium",87,103.81,2
"666","Serbia",87,3.347,1
"667","Netherlands",87,64.45,1
"668","Slovakia",87,0.177,3
"669","Sweden",87,31.471,1
"670","Italy",87,210.51,3
"671","Ireland",87,18.514,2
